id,value
Category,
Category.Academic_courses,
Category.Academic_courses.https://github/susana/beat-visualizer,1
Category.Academic_courses.https://github/codejamninja/jams-programming-guide,1
Category.Academic_courses.https://github/gleneivey/pairmatic2,1
Category.Academic_courses.https://github/drawpile/Drawpile,1
Category.Academic_courses.https://github/rroohhh/draw,1
Category.Academic_courses.https://github/code-friends/CodeFriends,1
Category.Academic_courses.https://github/ugwis/AtCoder-Recommendation,1
Category.Academic_courses.https://github/ehaughee/collabit,1
Category.Academic_courses.https://github/1j01/multifiddle,1
Category.Academic_courses.https://github/thisandagain/turtle,1
Category.Academic_courses.https://github/Starmonkeys/website,1
Category.Academic_courses.https://github/silshack/fall2013,1
Category.Academic_courses.https://github/amber/amber,1
Category.Academic_courses.https://github/joeljfischer/meteor-collabmirror,1
Category.Academic_courses.https://github/nebigdatahub/crux,1
Category.Academic_courses.https://github/otaruMendez/XtremeX,1
Category.Academic_courses.https://github/scottedwards/collaborative-text-editor,1
Category.Academic_courses.https://github/Spacerat/CollabPaint,1
Category.Academic_courses.https://github/achristoph/Collaborative-Filtering,1
Category.Academic_courses.https://github/DubFriend/GraffitiWall,1
Category.Academic_courses.https://github/lonewoolf/Maching-Learning-Programs,1
Category.Academic_courses.https://github/gleneivey/pairmatic,1
Category.Academic_courses.https://github/Progr-RRR/ZHR,1
Category.Academic_courses.https://github/acarrillo/sCribble,1
Category.Academic_courses.https://github/HerculesWS/Hercules,1
Category.Academic_courses.https://github/hpnhxxwn/Yelp-data-analysis-and-recommender-system,1
Category.Academic_courses.https://github/b-adams/Wells_Sp12_CS132_Project,1
Category.Academic_courses.https://github/8l/pijul,1
Category.Academic_courses.https://github/bryonf/YouJustGotPawned,1
Category.Academic_courses.https://github/hacktunes/hacktunes,1
Category.Academic_courses.https://github/ajzdunek/whatsForDinner-App,1
Category.Academic_courses.https://github/sapphireblu117/From-Beginners-to-Winners,1
Category.Academic_courses.https://github/domainxz/vcrs,1
Category.Academic_courses.https://github/niyatpatel23295/Apache-Spark-Recommender-System,1
Category.Academic_courses.https://github/rzere/Course_Timetabling_Research,1
Category.Academic_courses.https://github/asketsus/Wikicode-for-Moodle-2,1
Category.Academic_courses.https://github/usnistgov/CRPI,1
Category.Academic_courses.https://github/jenreiher/wtfiswednesdays,1
Category.Academic_courses.https://github/shannonpeng/plix,1
Category.Academic_courses.https://github/otavio-cesar/cetecop,1
Category.Academic_courses.https://github/18sears-nathan/ChatProgram2016,1
Category.Academic_courses.https://github/HPCGISLab/pcml,1
Category.Academic_courses.https://github/JonathanRys/OrganismIdent,1
Category.Academic_courses.https://github/dimroc/collabcode,1
Category.Academic_courses.https://github/vbsteja/deeplearning1,1
