id,value
STRATEGIES,
STRATEGIES.10*1*1*167*4896,
STRATEGIES.10*1*1*167*4896.E-Learning Systems And Manage Their Interactions,1
STRATEGIES.10*1002/cae*21655,
STRATEGIES.10*1002/cae*21655.E-Learning Systems And Manage Their Interactions,1
STRATEGIES.10*1002/cae*21655.Rule-Based Recommendation,1
STRATEGIES.10*1002/cae*21832,
STRATEGIES.10*1002/cae*21832.Rule-Based Recommendation,1
STRATEGIES.10*1007/378-3-313-31743-5*25,
STRATEGIES.10*1007/378-3-313-31743-5*25.Adaptive Educational System (Aes),1
STRATEGIES.10*1007/978-3-319-91743-6*26,
STRATEGIES.10*1007/978-3-319-91743-6*26.Valcam Algorithm,1
STRATEGIES.10*1007/978-3-642-34010-9*9,
STRATEGIES.10*1007/978-3-642-34010-9*9.Jigsaw Learning,1
STRATEGIES.10*1007/978-3-642-41347-6,
STRATEGIES.10*1007/978-3-642-41347-6.Rule-Based Recommendation,1
STRATEGIES.10*1007/s11257-011-9106-8,
STRATEGIES.10*1007/s11257-011-9106-8.Coalition Formation Algorithm,1
STRATEGIES.10*1007/s12257-012-3105-8,
STRATEGIES.10*1007/s12257-012-3105-8.Predict Student Behaviors,1
STRATEGIES.10*1007/s40533-015-0107-y,
STRATEGIES.10*1007/s40533-015-0107-y.Jigsaw Learning,1
STRATEGIES.10*1007/s40593-016-0107-y,
STRATEGIES.10*1007/s40593-016-0107-y.Adaptive Educational System (Aes),1
STRATEGIES.10*1007/s40593-016-0107-y.Team Syntegrity Model (Tsm),1
STRATEGIES.10*1015/J*CHB*2013*04*030,
STRATEGIES.10*1015/J*CHB*2013*04*030.Rule-Based Recommendation,1
STRATEGIES.10*1016/J*CHB*2013*04*030,
STRATEGIES.10*1016/J*CHB*2013*04*030.Adaptive Educational System (Aes),1
STRATEGIES.10*1016/J*CHB*2013*04*030.Jigsaw Learning,1
STRATEGIES.10*1016/j*procs*2014*12*021,
STRATEGIES.10*1016/j*procs*2014*12*021.Adaptive Educational System (Aes),1
STRATEGIES.10*1075/csed*12*3*137*8518,
STRATEGIES.10*1075/csed*12*3*137*8518.Rule-Based Recommendation,1
STRATEGIES.10*1075/csed*12*3*247*3837,
STRATEGIES.10*1075/csed*12*3*247*3837.Coalition Formation Algorithm,1
STRATEGIES.10*1076/csed*11*3*247*3837.Jigsaw Learning,1
STRATEGIES.10*1076/csed*12*3*197*8618,
STRATEGIES.10*1076/csed*12*3*197*8618.Coalition Formation Algorithm,1
STRATEGIES.10*1109/FIE*2006*322313,
STRATEGIES.10*1109/FIE*2006*322313.E-Learning Systems And Manage Their Interactions,1
STRATEGIES.10*1109/FIE*2007*4418095,
STRATEGIES.10*1109/FIE*2007*4418095.E-Learning Systems And Manage Their Interactions,1
STRATEGIES.10*1109/FIE*2007*4418095.Jigsaw Learning,1
STRATEGIES.10*1109/ICALT*2003*1215118,
STRATEGIES.10*1109/ICALT*2003*1215118.Valcam Algorithm,1
STRATEGIES.10*1109/ICETA*2017*8102463,
STRATEGIES.10*1109/ICETA*2017*8102463.Team Syntegrity Model (Tsm),1
STRATEGIES.10*1109/SII*2017*8279283,
STRATEGIES.10*1109/SII*2017*8279283.E-Learning Systems And Manage Their Interactions,1
STRATEGIES.10*1109/TLT*2009*50,
STRATEGIES.10*1109/TLT*2009*50.Adaptive Educational System (Aes),1
STRATEGIES.10*1109/TLT*2010*28,
STRATEGIES.10*1109/TLT*2010*28.E-Learning Systems And Manage Their Interactions,1
STRATEGIES.10*1109/TLT*2011*2,
STRATEGIES.10*1109/TLT*2011*2.Adaptive Educational System (Aes),1
STRATEGIES.10*1145/1160633*1160933,
STRATEGIES.10*1145/1160633*1160933.Jigsaw Learning,1
