id,value
Academiccourses,
https://github/susana/beat-visualizer.Academiccourses,1
https://github/codejamninja/jams-programming-guide.Academiccourses,1
https://github/gleneivey/pairmatic2.Academiccourses,1
https://github/drawpile/Drawpile.Academiccourses,1
https://github/rroohhh/draw.Academiccourses,1
https://github/code-friends/CodeFriends.Academiccourses,1
https://github/ugwis/AtCoder-Recommendation.Academiccourses,1
https://github/ehaughee/collabit.Academiccourses,1
https://github/1j01/multifiddle.Academiccourses,1
https://github/thisandagain/turtle.Academiccourses,1
https://github/Starmonkeys/website.Academiccourses,1
https://github/silshack/fall2013.Academiccourses,1
https://github/amber/amber.Academiccourses,1
https://github/joeljfischer/meteor-collabmirror.Academiccourses,1
https://github/nebigdatahub/crux.Academiccourses,1
https://github/otaruMendez/XtremeX.Academiccourses,1
https://github/scottedwards/collaborative-text-editor.Academiccourses,1
https://github/Spacerat/CollabPaint.Academiccourses,1
https://github/achristoph/Collaborative-Filtering.Academiccourses,1
https://github/DubFriend/GraffitiWall.Academiccourses,1
https://github/lonewoolf/Maching-Learning-Programs.Academiccourses,1
https://github/gleneivey/pairmatic.Academiccourses,1
https://github/Progr-RRR/ZHR.Academiccourses,1
https://github/acarrillo/sCribble.Academiccourses,1
https://github/HerculesWS/Hercules.Academiccourses,1
https://github/hpnhxxwn/Yelp-data-analysis-and-recommender-system.Academiccourses,1
https://github/b-adams/Wells_Sp12_CS132_Project.Academiccourses,1
https://github/8l/pijul.Academiccourses,1
https://github/bryonf/YouJustGotPawned.Academiccourses,1
https://github/hacktunes/hacktunes.Academiccourses,1
https://github/ajzdunek/whatsForDinner-App.Academiccourses,1
https://github/sapphireblu117/From-Beginners-to-Winners.Academiccourses,1
https://github/domainxz/vcrs.Academiccourses,1
https://github/niyatpatel23295/Apache-Spark-Recommender-System.Academiccourses,1
https://github/rzere/Course_Timetabling_Research.Academiccourses,1
https://github/asketsus/Wikicode-for-Moodle-2.Academiccourses,1
https://github/usnistgov/CRPI.Academiccourses,1
https://github/jenreiher/wtfiswednesdays.Academiccourses,1
https://github/shannonpeng/plix.Academiccourses,1
https://github/otavio-cesar/cetecop.Academiccourses,1
https://github/18sears-nathan/ChatProgram2016.Academiccourses,1
https://github/HPCGISLab/pcml.Academiccourses,1
https://github/JonathanRys/OrganismIdent.Academiccourses,1
https://github/dimroc/collabcode.Academiccourses,1
https://github/vbsteja/deeplearning1.Academiccourses,1
https://github/KyleZcode/gittinZiggyWithIt.Academiccourses,1
https://github/Zayd-Waves/cipher.Academiccourses,1
https://github/lambdaone-io/apprentice-resources.Academiccourses,1
https://github/snh-clj/collab.Academiccourses,1
https://github/hopelessoptimism/mondocode.Academiccourses,1
https://github/mldss/pci-summary.Academiccourses,1
https://github/radiatoryang/nyu_studio_spring2014.Academiccourses,1
https://github/ats-lang/ATS-CodeBook.Academiccourses,1
https://github/braydie/HowToBeAProgrammer.Academiccourses,1
https://github/xviniette/FlappyLearning.Academiccourses,1
https://github/ctuning/reproduce-milepost-project.Academiccourses,1
https://github/elixirschool/elixirschool.Academiccourses,1
https://github/chetannaik/learning_torch.Academiccourses,1
https://github/lenmus/lenmus.Academiccourses,1
https://github/JoshCheek/ruby-kickstart.Academiccourses,1
https://github/ehmatthes/intro_programming.Academiccourses,1
https://github/codebasics/py.Academiccourses,1
https://github/ollie-williams/SwiftParsec.Academiccourses,1
https://github/timestocome/Test-stock-prediction-algorithms.Academiccourses,1
https://github/ALRW/dayAsADev.Academiccourses,1
https://github/thebreadboard/Arduino-Tutorials.Academiccourses,1
https://github/wsnewman/learning_ros.Academiccourses,1
https://github/ajielee/mini-projects-while-learning-python.Academiccourses,1
https://github/adafruit/Adafruit_Learning_System_Guides.Academiccourses,1
https://github/GersonLazaro/learn-x-if-you-know-y.Academiccourses,1
https://github/jondot/awesome-aha.Academiccourses,1
https://github/aliostad/deep-learning-lang-detection.Academiccourses,1
https://github/BoYanSTKO/Practical_RL-coursera.Academiccourses,1
https://github/dstarcev/stepic-haskell.Academiccourses,1
https://github/rojassergio/Learning-Scipy.Academiccourses,1
https://github/khanhnamle1994/complete-guide-to-deep-learning.Academiccourses,1
https://github/zhtpandog/One_Hundred_Tricky_Java_Questions.Academiccourses,1
https://github/imaginate/algorithmIV-question-manager.Academiccourses,1
https://github/theusual/kaggle-yelp-business-rating-prediction.Academiccourses,1
https://github/mikesprague/udacity-nanodegrees.Academiccourses,1
https://github/SentientOrange/Rubiks-Cube.Academiccourses,1
https://github/jashmenn/bitcoin-reading-list.Academiccourses,1
https://github/aeshthetic/Learn-to-Program.Academiccourses,1
https://github/RiccardoM/Forex-and-Stock-Python-Pattern-Recognizer.Academiccourses,1
https://github/underscoreio/creative-scala.Academiccourses,1
https://github/maxritter/SDC-End-to-end-driving.Academiccourses,1
https://github/crazydonkey200/neural-symbolic-machines.Academiccourses,1
https://github/smbriones/c-how-to-program.Academiccourses,1
https://github/alex520biao/Learning-OpenGL-ES-for-iOS.Academiccourses,1
https://github/MihaiDamian/Machine-learning-programming-exercises.Academiccourses,1
https://github/mauricesharp/Learning-iOS-Development.Academiccourses,1
https://github/gaerae/awesome-algorithms.Academiccourses,1
https://github/gafiatulin/ml-class.Academiccourses,1
https://github/marcelgsantos/learning-oop-in-php.Academiccourses,1
https://github/freddiev4/dailyprogrammerchallenges.Academiccourses,1
https://github/tostq/DeepLearningC.Academiccourses,1
